id;title;price;image;image_content_type
1;Steel;31485;../fake-data/blob/hipster.png;image/png
2;calculating cross-platform Principal;35091;../fake-data/blob/hipster.png;image/png
3;wireless Handmade;76808;../fake-data/blob/hipster.png;image/png
4;deposit Track actuating;64964;../fake-data/blob/hipster.png;image/png
5;Division;13165;../fake-data/blob/hipster.png;image/png
6;Card;44325;../fake-data/blob/hipster.png;image/png
7;models partnerships Infrastructure;91058;../fake-data/blob/hipster.png;image/png
8;compressing withdrawal green;70316;../fake-data/blob/hipster.png;image/png
9;Gloves Drive;69325;../fake-data/blob/hipster.png;image/png
10;Car;16911;../fake-data/blob/hipster.png;image/png
